spp	dS	+-SE
NeobrM	0.0841	0.0179
Neobue	0.0989	0.0189
NeocaK	0.0950	0.0188
Neocal	0.1012	0.0196
Neocau	0.1111	0.0203
Neochi	0.0911	0.0183
Neochr	
Neocra	0.0938	0.0186
Neocyg	0.0909	0.0179
Neocyl	0.0947	0.0184
Neodev	0.1006	0.0189
Neoese	0.0903	0.0178
Neofal	
NeofaM	
Neofas	0.0947	0.0187
Neofur	0.0980	0.0188
NeofuU	0.0973	0.0187
Neogra	0.1007	0.0192
NeogrM	0.0720	0.0156
Neohec	0.1033	0.0195
Neohel	0.0959	0.0186
Neokom	0.0962	0.0187
NeoleL	0.0941	0.0183
Neoleu	0.0914	0.0180
Neolon	
Neolou	0.1112	0.0204
Neomar	0.0950	0.0188
Neomee	0.1050	0.0197
Neomod	0.0985	0.0189
Neomon	0.0944	0.0183
Neomul	
Neomux	0.0893	0.0177
Neonig	
Neonve	0.0956	0.0186
Neoobs	
Neooli	0.0958	0.0186
Neopec	0.0950	0.0184
Neopet	0.1042	0.0196
Neople	0.1078	0.0200
Neopro	
Neopul	0.0955	0.0189
Neosav	0.0990	0.0189
Neosex	0.1020	0.0192
Neosim	0.0902	0.0182
Neospl	
Neotet	
Neotim	0.0956	0.0186
Neotoa	0.0981	0.0188
Neotre	0.0997	0.0190
Neovar	0.1077	0.0197
NeoveB	0.1105	0.0201
NeoveS	0.0830	0.0177
Neowal	0.0923	0.0185
Ophboo	0.1009	0.0197
Ophhet	0.1038	0.0199
Ophnas	0.1117	0.0208
Ophpar	0.1168	0.0218
Ophven	0.1062	0.0204
Ophwhi	0.1128	0.0210
Ortcho	0.0893	0.0180
Ortmaz	0.0794	0.0169
Ortred	0.0817	0.0171
Ortuvi	0.0862	0.0177
Pcybri	0.0777	0.0166
PcybrN	0.0836	0.0171
Pcynig	0.0865	0.0174
Pcytem	0.0892	0.0179
Perecc	0.0949	0.0184
Permic	0.0984	0.0188
Peteph	0.0903	0.0181
Petfam	0.0967	0.0188
Petfas	0.0916	0.0184
Petgia	0.0915	0.0184
Pethor	0.0972	0.0188
Petiko	0.0910	0.0183
Petkas	0.0917	0.0184
Petkip	0.0914	0.0184
Petmac	0.1014	0.0194
Petmos	0.0902	0.0181
Petort	0.0997	0.0194
Petpol	0.0903	0.0181
Petrai	0.0968	0.0188
Petred	0.0938	0.0185
Pettex	0.0945	0.0187
Pettre	0.0937	0.0185
Phaacu	0.0927	0.0183
Pleela	0.0949	0.0184
Plemul	0.0980	0.0187
Plepar	0.0956	0.0186
Plestr	0.0987	0.0189
Pscbab	0.0893	0.0179
Psccur	0.0931	0.0184
Pscmar	0.0936	0.0185
Pscmrg	0.0936	0.0185
Pscple	0.0903	0.0181
Psephi	0.1033	0.0194
Regcal	0.0813	0.0170
Sarcar	0.0927	0.0183
Sermac	0.0928	0.0183
Simdia	0.0922	0.0185
Spaery	0.0877	0.0176
Spamar	0.0915	0.0181
Tanirs	0.0926	0.0183
Tchdha	0.0825	0.0172
Telbif	0.0982	0.0188
Telbra	0.0904	0.0182
Telbri	0.0838	0.0175
TeldhN	0.0853	0.0175
TeldhS	0.0817	0.0175
TeldhT	0.0855	0.0179
Tellon	
Telluf	
Telshe	0.0832	0.0173
TelteS	0.0858	0.0179
Telvit	0.0946	0.0187
Thobra	0.0974	0.0189
Trecap	0.1047	0.0197
Tremac	0.1027	0.0200
Tremar	0.0898	0.0184
Trenig	0.0835	0.0178
Tresti	0.0968	0.0188
Treuni	0.0944	0.0187
Trezeb	0.0942	0.0186
Trioto	0.0817	0.0171
Troann	0.0968	0.0188
Trobri	0.1123	0.0205
TrobrK	0.0982	0.0190
Trodub	0.0978	0.0190
Trokir	0.0826	0.0172
Troluk	0.1028	0.0194
Trolun	0.1042	0.0196
Tromoo	0.0898	0.0180
Tromor	0.0929	0.0183
Trompi	0.0938	0.0185
Tronig	0.1017	0.0195
Tropol	0.0854	0.0175
Trored	0.0921	0.0182
Varmoo	0.1024	0.0193
Xchhec	0.0987	0.0189
Xenbat	0.1020	0.0199
Xenbou	0.0982	0.0191
Xencau	0.0927	0.0187
Xenfla	0.1184	0.0214
Xenkil	0.1011	0.0198
Xenlon	0.0932	0.0188
Xennas	0.0935	0.0188
XenniS	0.0955	0.0193
Xenoch	0.1046	0.0200
Xenorn	0.0970	0.0192
XenpaK	0.1122	0.0206
Xenpap	0.1043	0.0197
Xensim	0.0946	0.0187
Xensin	0.1084	0.0202
Xenspi	0.1087	0.0202
XenspN	0.1052	0.0198
Xensun	0.0990	0.0192
