spp	dS	+-SE
NeoveS	0.0487	0.0203
Neowal	0.0412	0.0187
Ophboo	0.0402	0.0182
Ophhet	0.0402	0.0182
Ophnas	0.0402	0.0182
Ophpar	0.0402	0.0182
Ophven	0.0402	0.0182
Ophwhi	0.0402	0.0182
Ortcho	0.0399	0.0181
Ortmaz	0.0402	0.0182
Ortred	0.0402	0.0182
Ortuvi	0.0402	0.0182
Pcybri	0.0420	0.0191
PcybrN	0.0441	0.0200
Pcynig	0.0445	0.0202
Pcytem	0.0441	0.0200
Perecc	0.0397	0.0180
Permic	0.0398	0.0181
Peteph	0.0401	0.0182
Petfam	0.0401	0.0182
Petfas	0.0401	0.0182
Petgia	0.0401	0.0182
Pethor	0.0401	0.0182
Petiko	0.0401	0.0182
Petkas	0.0401	0.0182
Petkip	0.0401	0.0182
Petmac	0.0401	0.0182
Petmos	0.0401	0.0182
Petort	0.0401	0.0182
Petpol	0.0401	0.0182
Petrai	0.0401	0.0182
Petred	0.0401	0.0182
Pettex	0.0401	0.0182
Pettre	0.0401	0.0182
Phaacu	0.0401	0.0182
Pleela	0.0399	0.0181
Plemul	0.0397	0.0180
Plepar	0.0397	0.0180
Plestr	0.0397	0.0180
Pscbab	0.0401	0.0182
Psccur	0.0401	0.0182
Pscmar	0.0538	0.0208
Pscmrg	0.0466	0.0194
Pscple	0.0401	0.0182
Psephi	0.0589	0.0213
Regcal	0.0459	0.0191
Sarcar	0.0401	0.0182
Sermac	0.0401	0.0182
Simdia	0.0401	0.0182
Spaery	0.0482	0.0201
Spamar	0.0399	0.0181
Tanirs	0.0482	0.0201
Tchdha	0.0381	0.0172
Telbif	0.0412	0.0187
Telbra	0.0404	0.0183
Telbri	0.0404	0.0183
TeldhN	0.0402	0.0182
TeldhS	0.0404	0.0183
TeldhT	0.0410	0.0186
Tellon	0.0404	0.0183
Telluf	0.0404	0.0183
Telshe	0.0404	0.0183
TelteS	0.0409	0.0186
Telvit	0.0404	0.0183
Thobra	0.0401	0.0182
Trecap	0.0453	0.0188
Tremac	0.0462	0.0192
Tremar	0.0396	0.0179
Trenig	0.0396	0.0179
Tresti	0.0396	0.0179
Treuni	0.0540	0.0224
Trezeb	0.0316	0.0160
Trioto	0.0388	0.0176
Troann	0.0401	0.0182
Trobri	0.0401	0.0182
TrobrK	0.0401	0.0182
Trodub	0.0401	0.0182
Trokir	0.0456	0.0189
Troluk	0.0401	0.0182
Trolun	0.0401	0.0182
Tromoo	0.0401	0.0182
Tromor	0.0401	0.0182
Trompi	0.0401	0.0182
Tronig	0.0456	0.0189
Tropol	0.0401	0.0182
Trored	0.0401	0.0182
Varmoo	0.0404	0.0183
Xchhec	0.0400	0.0182
Xenbat	0.0486	0.0202
Xenbou	0.0486	0.0202
Xencau	0.0402	0.0182
Xenfla	0.0402	0.0182
Xenkil	0.0403	0.0183
Xenlon	0.0381	0.0172
Xennas	0.0402	0.0182
XenniS	0.0381	0.0172
Xenoch	0.0486	0.0202
Xenorn	0.0381	0.0172
XenpaK	0.0402	0.0182
Xenpap	0.0402	0.0182
Xensim	0.0486	0.0202
Xensin	0.0486	0.0202
Xenspi	0.0402	0.0182
XenspN	0.0402	0.0182
Xensun	0.0402	0.0182
