spp	dS	+-SE
TelteS	0.0785	0.0164
Telvit	0.0864	0.0170
Thobra	0.0911	0.0177
Trecap	0.0944	0.0177
Tremac	0.0963	0.0183
Tremar	0.0847	0.0170
Trenig	0.0842	0.0172
Tresti	0.0892	0.0173
Treuni	0.0900	0.0174
Trezeb	0.0974	0.0183
Trioto	0.0757	0.0158
Troann	0.0901	0.0175
Trobri	0.1079	0.0194
TrobrK	0.0953	0.0182
Trodub	0.0941	0.0179
Trokir	0.0768	0.0160
Troluk	0.0993	0.0184
Trolun	0.0974	0.0183
Tromoo	0.0847	0.0170
Tromor	0.0865	0.0170
Trompi	0.0877	0.0173
Tronig	0.0943	0.0180
Tropol	0.0797	0.0163
Trored	0.0860	0.0170
Varmoo	0.0937	0.0176
Xchhec	0.0918	0.0175
Xenbat	0.0950	0.0185
Xenbou	0.0922	0.0179
Xencau	0.0864	0.0174
Xenfla	0.1133	0.0201
Xenkil	0.1008	0.0193
Xenlon	0.0869	0.0175
Xennas	0.0899	0.0178
XenniS	0.0895	0.0180
Xenoch	0.1013	0.0190
Xenorn	0.0941	0.0183
XenpaK	0.1048	0.0192
Xenpap	0.0979	0.0184
Xensim	0.0925	0.0180
Xensin	0.1078	0.0194
Xenspi	0.1018	0.0189
XenspN	0.0985	0.0185
Xensun	0.0955	0.0182
