site	ind	dep	BF
OTRb.tr2_361	-127.936988	-141.621389	-27.368802
OTRb.tr2_362	-120.434984	-128.045754	-15.22154
OTRb.tr2_363	-128.522831	-135.674662	-14.303662
OTRb.tr2_364	-115.759258	-122.943333	-14.36815
OTRb.tr2_365	-115.747866	-121.886844	-12.277956
OTRb.tr2_367	-115.723242	-123.60869	-15.770896
OTRb.tr2_369	-125.843061	-140.516781	-29.34744
OTRb.tr2_371	-115.671285	-123.972921	-16.603272
OTRb.tr2_373	-128.674144	-141.252232	-25.156176
OTRb.tr2_374	-115.816084	-122.349871	-13.067574
OTRb.tr2_378	-110.020647	-117.348787	-14.65628
OTRb.tr2_379	-115.33126	-122.50302	-14.34352
OTRb.tr2_380	-115.643311	-122.76017	-14.233718
OTRb.tr2_381	-115.141992	-123.943798	-17.603612
OTRb.tr2_386	-128.506547	-139.636172	-22.25925
OTRb.tr2_387	-127.112187	-140.01151	-25.798646
OTRb.tr2_388	-127.897919	-141.569816	-27.343794
OTRb.tr2_389	-115.830337	-122.877317	-14.09396
OTRb.tr2_390	-147.167239	-156.683771	-19.033064
OTRb.tr2_391	-127.934967	-136.713246	-17.556558
OTRb.tr2_49	-115.750578	-122.789596	-14.078036
OTRb.tr2_51	-126.250698	-139.629778	-26.75816
OTRb.tr2_62	-134.38269	-142.534852	-16.304324
OTRb.tr2_63	-116.16086	-121.655967	-10.990214
OTRb.tr2_66	-115.994868	-123.935999	-15.882262
OTRb.tr2_8	-120.777312	-126.974717	-12.39481
OTRb.tr2_94	-115.61669	-122.296222	-13.359064
OTRb.tr3_114	-115.837412	-122.960471	-14.246118
OTRb.tr3_120	-110.062953	-116.763158	-13.40041
OTRb.tr3_121	-115.475841	-123.26113	-15.570578
OTRb.tr3_125	-116.06975	-121.919506	-11.699512
OTRb.tr3_12	-116.018398	-123.242136	-14.447476
OTRb.tr3_130	-115.988271	-122.74682	-13.517098
OTRb.tr3_132	-147.677344	-171.540157	-47.725626
OTRb.tr3_136	-133.672492	-145.111861	-22.878738
OTRb.tr3_137	-133.825931	-145.515633	-23.379404
OTRb.tr3_138	-135.081222	-231.450605	-192.738766
OTRb.tr3_13	-115.531227	-123.439209	-15.815964
OTRb.tr3_15	-135.883667	-159.178802	-46.59027
OTRb.tr3_19	-120.580848	-128.781396	-16.401096
OTRb.tr3_23	-115.525673	-122.786409	-14.521472
OTRb.tr3_25	-126.616748	-134.831358	-16.42922
OTRb.tr3_28	-110.607777	-117.367283	-13.519012
OTRb.tr3_33	-110.724525	-117.646521	-13.843992
OTRb.tr3_49	-115.664743	-123.113699	-14.897912
OTRb.tr3_51	-126.702561	-139.415184	-25.425246
OTRb.tr3_62	-135.679511	-145.745284	-20.131546
OTRb.tr3_63	-115.453971	-121.131796	-11.35565
OTRb.tr3_66	-116.088688	-124.562421	-16.947466
OTRb.tr3_8	-120.065517	-128.326701	-16.522368
OTRb.tr3_94	-116.639357	-123.095502	-12.91229
VT_100	-115.35669	-122.969964	-15.226548
VT_101	-157.742931	-174.649389	-33.812916
VT_103	-115.843972	-122.359705	-13.031466
VT_104	-132.63178	-146.536348	-27.809136
VT_107	-115.441433	-123.686751	-16.490636
VT_112	-135.164548	-141.791796	-13.254496
VT_114	-132.664276	-138.18462	-11.040688
VT_118	-109.634118	-117.775481	-16.282726
VT_119	-115.113939	-121.660398	-13.092918
VT_121	-109.91071	-115.844412	-11.867404
VT_126	-108.700069	-115.313203	-13.226268
VT_128	-115.491847	-121.395073	-11.806452
VT_129	-126.778262	-135.888925	-18.221326
VT_131	-115.575905	-124.037417	-16.923024
VT_132	-115.343068	-123.957166	-17.228196
VT_133	-109.986748	-116.012024	-12.050552
VT_136	-128.353274	-135.712144	-14.71774
VT_140	-115.190832	-122.797196	-15.212728
VT_149	-115.794952	-122.418659	-13.247414
VT_151	-120.153258	-128.3497	-16.392884
VT_32	-115.10339	-123.634053	-17.061326
VT_34	-120.464211	-130.532438	-20.136454
VT_46	-116.211467	-121.964063	-11.505192
VT_49	-126.80011	-137.713683	-21.827146
VT_4	-115.544473	-123.01754	-14.946134
VT_51	-116.246705	-122.752916	-13.012422
VT_61	-115.349848	-121.830968	-12.96224
VT_62	-115.732966	-122.337501	-13.20907
VT_69	-115.922399	-123.362786	-14.880774
VT_70	-115.637335	-124.063405	-16.85214
VT_82	-126.444695	-135.024232	-17.159074
VT_88	-115.232085	-122.695914	-14.927658
VT_95	-124.489905	-133.555342	-18.130874
VT_98	-138.13238	-150.284966	-24.305172
VTR1Aa.tr1_11	-115.781739	-121.365407	-11.167336
VTR1Aa.tr1_13	-110.135136	-117.14654	-14.022808
VTR1Aa.tr1_15	-126.806935	-136.721464	-19.829058
VTR1Aa.tr1_162	-115.700594	-122.348016	-13.294844
VTR1Aa.tr1_173	-124.119007	-132.438492	-16.63897
VTR1Aa.tr1_17	-116.110265	-123.847603	-15.474676
VTR1Aa.tr1_193	-115.174876	-122.998754	-15.647756
VTR1Aa.tr1_1	-115.593377	-122.543281	-13.899808
VTR1Aa.tr1_20	-115.532959	-122.587789	-14.10966
VTR1Aa.tr1_210	-119.603415	-127.580298	-15.953766
VTR1Aa.tr1_235	-134.977399	-141.227295	-12.499792
VTR1Aa.tr1_242	-119.98826	-127.663117	-15.349714
VTR1Aa.tr1_245	-175.236786	-186.73257	-22.991568
VTR1Aa.tr1_24	-115.479953	-123.21936	-15.478814
VTR1Aa.tr1_250	-115.9351	-122.549362	-13.228524
VTR1Aa.tr1_257	-115.130729	-122.304522	-14.347586
VTR1Aa.tr1_258	-115.669718	-122.744038	-14.14864
VTR1Aa.tr1_262	-109.853295	-116.294479	-12.882368
VTR1Aa.tr1_26	-115.429106	-122.912725	-14.967238
VTR1Aa.tr1_27	-116.476437	-123.022201	-13.091528
VTR1Aa.tr1_289	-120.082609	-127.823753	-15.482288
VTR1Aa.tr1_28	-110.015252	-117.444105	-14.857706
VTR1Aa.tr1_306	-115.792588	-122.148931	-12.712686
VTR1Aa.tr1_30	-115.125958	-122.505121	-14.758326
VTR1Aa.tr1_313	-156.415201	-166.998283	-21.166164
VTR1Aa.tr1_31	-118.989417	-127.669414	-17.359994
VTR1Aa.tr1_32	-116.44608	-124.255092	-15.618024
VTR1Aa.tr1_359	-115.823642	-123.492194	-15.337104
VTR1Aa.tr1_35	-130.87661	-141.181796	-20.610372
VTR1Aa.tr1_360	-115.125574	-121.712797	-13.174446
VTR1Aa.tr1_362	-115.844323	-123.32548	-14.962314
VTR1Aa.tr1_365	-115.993906	-123.078492	-14.169172
VTR1Aa.tr1_367	-120.027557	-125.981305	-11.907496
VTR1Aa.tr1_377	-115.529395	-123.004806	-14.950822
VTR1Aa.tr1_37	-125.76432	-137.65072	-23.7728
VTR1Aa.tr1_380	-125.173263	-130.858833	-11.37114
VTR1Aa.tr1_388	-115.531328	-122.91315	-14.763644
VTR1Aa.tr1_38	-138.409709	-158.636386	-40.453354
VTR1Aa.tr1_396	-120.094677	-127.140244	-14.091134
VTR1Aa.tr1_39	-120.667653	-126.283043	-11.23078
VTR1Aa.tr1_3	-129.366577	-139.226309	-19.719464
VTR1Aa.tr1_408	-142.116951	-148.887757	-13.541612
VTR1Aa.tr1_410	-131.20816	-138.390138	-14.363956
VTR1Aa.tr1_411	-110.672999	-117.231822	-13.117646
VTR1Aa.tr1_41	-116.365385	-123.904577	-15.078384
VTR1Aa.tr1_4	-128.793707	-141.829255	-26.071096
VTR1Aa.tr1_50	-115.904041	-122.604153	-13.400224
VTR1Aa.tr1_5	-120.340789	-126.11383	-11.546082
VTR1Aa.tr1_65	-116.104709	-122.093117	-11.976816
VTR1Aa.tr1_68	-115.123022	-122.310257	-14.37447
VTR1Aa.tr1_71	-110.368227	-116.964056	-13.191658
VTR1Aa.tr1_92	-120.238186	-126.748088	-13.019804
VTR1Aa.tr2_11	-115.226197	-122.547742	-14.64309
VTR1Aa.tr2_13	-109.758402	-116.304834	-13.092864
VTR1Aa.tr2_15	-125.47463	-135.425981	-19.902702
VTR1Aa.tr2_162	-115.693791	-122.911023	-14.434464
VTR1Aa.tr2_173	-124.847048	-132.289943	-14.88579
VTR1Aa.tr2_17	-115.666032	-123.501647	-15.67123
VTR1Aa.tr2_193	-115.935013	-122.298991	-12.727956
VTR1Aa.tr2_1	-115.659853	-123.121954	-14.924202
VTR1Aa.tr2_20	-116.12362	-121.54898	-10.85072
VTR1Aa.tr2_210	-120.292367	-125.712611	-10.840488
VTR1Aa.tr2_235	-135.311036	-140.417651	-10.21323
VTR1Aa.tr2_242	-120.186071	-128.127213	-15.882284
VTR1Aa.tr2_245	-176.038195	-183.609891	-15.143392
VTR1Aa.tr2_24	-116.164452	-125.095768	-17.862632
VTR1Aa.tr2_250	-115.626448	-123.048565	-14.844234
VTR1Aa.tr2_257	-115.286061	-122.823659	-15.075196
VTR1Aa.tr2_258	-115.765744	-121.959099	-12.38671
VTR1Aa.tr2_262	-110.044311	-116.22553	-12.362438
VTR1Aa.tr2_26	-116.966746	-123.090225	-12.246958
VTR1Aa.tr2_27	-115.601711	-123.09211	-14.980798
VTR1Aa.tr2_289	-120.936729	-128.095067	-14.316676
VTR1Aa.tr2_28	-110.648043	-116.813156	-12.330226
VTR1Aa.tr2_306	-115.739429	-121.797835	-12.116812
VTR1Aa.tr2_30	-116.135735	-122.59761	-12.92375
VTR1Aa.tr2_313	-155.80368	-166.067629	-20.527898
VTR1Aa.tr2_31	-120.35469	-126.435217	-12.161054
VTR1Aa.tr2_32	-115.514699	-123.282226	-15.535054
VTR1Aa.tr2_359	-116.473946	-122.477643	-12.007394
VTR1Aa.tr2_35	-130.837429	-142.926446	-24.178034
VTR1Aa.tr2_360	-115.434388	-122.32442	-13.780064
VTR1Aa.tr2_362	-116.158626	-121.749704	-11.182156
VTR1Aa.tr2_365	-116.003446	-120.967419	-9.92794600000002
VTR1Aa.tr2_367	-119.785255	-126.70531	-13.84011
VTR1Aa.tr2_377	-116.720799	-121.867322	-10.293046
VTR1Aa.tr2_37	-125.393397	-138.23986	-25.692926
VTR1Aa.tr2_380	-124.266547	-132.988515	-17.443936
VTR1Aa.tr2_388	-116.04358	-122.535366	-12.983572
VTR1Aa.tr2_38	-137.444411	-158.80606	-42.723298
VTR1Aa.tr2_393	-116.112771	-122.761352	-13.297162
VTR1Aa.tr2_395	-115.754898	-122.94278	-14.375764
VTR1Aa.tr2_397	-115.053184	-122.018464	-13.93056
VTR1Aa.tr2_399	-110.213944	-117.838081	-15.248274
VTR1Aa.tr2_39	-120.403826	-125.232687	-9.65772200000001
VTR1Aa.tr2_3	-128.653138	-135.282497	-13.258718
VTR1Aa.tr2_403	-127.922385	-140.620487	-25.396204
VTR1Aa.tr2_413	-124.000209	-132.320871	-16.641324
VTR1Aa.tr2_415	-128.133345	-134.021801	-11.776912
VTR1Aa.tr2_416	-126.032756	-138.018223	-23.970934
VTR1Aa.tr2_417	-126.076491	-138.542875	-24.932768
VTR1Aa.tr2_419	-127.966195	-136.852954	-17.773518
VTR1Aa.tr2_41	-114.902522	-123.97991	-18.154776
VTR1Aa.tr2_420	-115.187583	-122.273	-14.170834
VTR1Aa.tr2_429	-134.173351	-143.661803	-18.976904
VTR1Aa.tr2_4	-129.210751	-274.068221	-289.71494
VTR1Aa.tr2_50	-115.540436	-122.356099	-13.631326
VTR1Aa.tr2_5	-120.194194	-126.899611	-13.410834
VTR1Aa.tr2_65	-115.552454	-122.575867	-14.046826
VTR1Aa.tr2_68	-115.673729	-121.799377	-12.251296
VTR1Aa.tr2_71	-110.504736	-117.183535	-13.357598
VTR1Aa.tr2_92	-120.787639	-125.545459	-9.51563999999999
VTR1Ab_10	-110.85269	-116.597067	-11.488754
VTR1Ab_11	-120.434966	-127.750374	-14.630816
VTR1Ab_129	-115.736881	-122.415844	-13.357926
VTR1Ab_12	-124.105329	-132.064782	-15.918906
VTR1Ab_137	-116.000748	-122.717535	-13.433574
VTR1Ab_13	-128.442118	-132.894171	-8.90410600000001
VTR1Ab_141	-127.241038	-136.714036	-18.945996
VTR1Ab_149	-110.989111	-117.656616	-13.33501
VTR1Ab_152	-116.030041	-122.242365	-12.424648
VTR1Ab_158	-115.95868	-121.261107	-10.604854
VTR1Ab_162	-124.339252	-132.490362	-16.30222
VTR1Ab_163	-115.745865	-123.420929	-15.350128
VTR1Ab_174	-127.728979	-136.121734	-16.78551
VTR1Ab_185	-127.480313	-134.674348	-14.38807
VTR1Ab_186	-128.761006	-139.302506	-21.083
VTR1Ab_18	-115.937968	-123.590916	-15.305896
VTR1Ab_198	-115.80733	-123.286228	-14.957796
VTR1Ab_19	-115.64923	-121.59076	-11.88306
VTR1Ab_207	-115.512998	-123.031915	-15.037834
VTR1Ab_20	-115.486	-123.06131	-15.15062
VTR1Ab_211	-115.627599	-122.019504	-12.78381
VTR1Ab_213	-115.293385	-122.499637	-14.412504
VTR1Ab_216	-114.644092	-122.220785	-15.153386
VTR1Ab_221	-146.416875	-158.238399	-23.643048
VTR1Ab_223	-116.216543	-122.536707	-12.640328
VTR1Ab_224	-129.169606	-139.363199	-20.387186
VTR1Ab_22	-110.13064	-116.69745	-13.13362
VTR1Ab_231	-115.807381	-121.97694	-12.339118
VTR1Ab_235	-114.923466	-123.106486	-16.36604
VTR1Ab_243	-128.810198	-137.591218	-17.56204
VTR1Ab_252	-115.471544	-121.137137	-11.331186
VTR1Ab_253	-115.468699	-122.321094	-13.70479
VTR1Ab_254	-119.878455	-129.575574	-19.394238
VTR1Ab_25	-115.592364	-122.235228	-13.285728
VTR1Ab_263	-127.217377	-139.54119	-24.647626
VTR1Ab_27	-115.454065	-122.711804	-14.515478
VTR1Ab_283	-116.013843	-122.482031	-12.936376
VTR1Ab_28	-140.910784	-152.007061	-22.192554
VTR1Ab_2	-126.316459	-137.749546	-22.866174
VTR1Ab_30	-127.083723	-137.991967	-21.816488
VTR1Ab_31	-115.197789	-122.90279	-15.410002
VTR1Ab_344	-116.162055	-124.113521	-15.902932
VTR1Ab_345	-145.673532	-155.985096	-20.623128
VTR1Ab_356	-124.394047	-132.323861	-15.859628
VTR1Ab_358	-129.281021	-222.930627	-187.299212
VTR1Ab_359	-129.282286	-145.702002	-32.839432
VTR1Ab_361	-120.193526	-128.491889	-16.596726
VTR1Ab_368	-131.87265	-141.506441	-19.267582
VTR1Ab_371	-115.660895	-122.110778	-12.899766
VTR1Ab_375	-109.142542	-115.258204	-12.231324
VTR1Ab_380	-115.416324	-122.978898	-15.125148
VTR1Ab_382	-116.177649	-122.73349	-13.111682
VTR1Ab_384	-128.550358	-138.158268	-19.21582
VTR1Ab_387	-110.992258	-116.085245	-10.185974
VTR1Ab_388	-144.355092	-154.529707	-20.34923
VTR1Ab_389	-131.044968	-153.467164	-44.844392
VTR1Ab_390	-115.51194	-123.205266	-15.386652
VTR1Ab_391	-116.425885	-123.781652	-14.711534
VTR1Ab_394	-119.875545	-127.275818	-14.800546
VTR1Ab_395	-132.634967	-144.426357	-23.58278
VTR1Ab_396	-138.177827	-152.059206	-27.762758
VTR1Ab_398	-111.176619	-116.727228	-11.101218
VTR1Ab_3	-127.822618	-139.194664	-22.744092
VTR1Ab_400	-129.29436	-143.64721	-28.7057
VTR1Ab_4	-110.415722	-116.438853	-12.046262
VTR1Ab_53	-127.905551	-137.67905	-19.546998
VTR1Ab_64	-128.31945	-136.431516	-16.224132
VTR1Ab_65	-127.306136	-139.140936	-23.6696
VTR1Ab_66	-115.410869	-122.311511	-13.801284
VTR1Ab_68	-136.667303	-149.41896	-25.503314
VTR1Ab_69	-115.560425	-122.244534	-13.368218
VTR1Ab_6	-115.476261	-122.353615	-13.754708
VTR1Ab_70	-115.622014	-121.546249	-11.84847
VTR1Ab_79	-115.715295	-122.377399	-13.324208
VTR1Ab_82	-115.9662	-123.143031	-14.353662
VTR2Aa_13	-120.545073	-126.209565	-11.328984
VTR2Aa_144	-134.025244	-141.74065	-15.430812
VTR2Aa_149	-115.379298	-123.986655	-17.214714
VTR2Aa_152	-130.295079	-141.075415	-21.560672
VTR2Aa_17	-115.822304	-122.031156	-12.417704
VTR2Aa_187	-115.984178	-123.246077	-14.523798
VTR2Aa_189	-124.791606	-132.454357	-15.325502
VTR2Aa_199	-159.715933	-172.4428	-25.453734
VTR2Aa_203	-125.591784	-139.749092	-28.314616
VTR2Aa_20	-127.005737	-137.849607	-21.68774
VTR2Aa_238	-109.934598	-116.712371	-13.555546
VTR2Aa_244	-131.946666	-138.554596	-13.21586
VTR2Aa_247	-124.021081	-132.304716	-16.56727
VTR2Aa_24	-115.612495	-123.100265	-14.97554
VTR2Aa_251	-124.236941	-135.035775	-21.597668
VTR2Aa_252	-127.09306	-138.1162	-22.04628
VTR2Aa_262	-115.335532	-123.918831	-17.166598
VTR2Aa_266	-116.354323	-121.416736	-10.124826
VTR2Aa_275	-127.644583	-134.629776	-13.970386
VTR2Aa_277	-133.60817	-139.500912	-11.785484
VTR2Aa_284	-120.537356	-127.758409	-14.442106
VTR2Aa_292	-115.165415	-122.358679	-14.386528
VTR2Aa_295	-111.01543	-116.767832	-11.504804
VTR2Aa_296	-129.447194	-141.948712	-25.003036
VTR2Aa_297	-115.918777	-123.346476	-14.855398
VTR2Aa_29	-110.850036	-116.964209	-12.228346
VTR2Aa_300	-116.397982	-120.966801	-9.13763800000001
VTR2Aa_305	-115.224013	-121.455303	-12.46258
VTR2Aa_308	-130.504351	-150.323402	-39.6381019999999
VTR2Aa_312	-124.830325	-132.093098	-14.525546
VTR2Aa_314	-161.208466	-169.347978	-16.279024
VTR2Aa_316	-128.231418	-139.551114	-22.639392
VTR2Aa_320	-115.807232	-123.081077	-14.54769
VTR2Aa_322	-116.098095	-123.006458	-13.816726
VTR2Aa_325	-115.893464	-122.9356	-14.084272
VTR2Aa_332	-115.894323	-122.667779	-13.546912
VTR2Aa_333	-115.613377	-122.347704	-13.468654
VTR2Aa_334	-125.848593	-130.774986	-9.85278600000004
