spp	dS	+-SE
Petfam	0.1032	0.0258
Petfas	0.1168	0.0279
Petgia	0.1032	0.0259
Pethor	0.1079	0.0262
Petiko	0.1106	0.0270
Petkas	0.1003	0.0250
Petkip	0.1168	0.0279
Petmac	0.1036	0.0260
Petmos	0.1044	0.0262
Petort	0.1109	0.0271
Petpol	0.1036	0.0260
Petrai	0.1032	0.0259
Petred	0.0959	0.0246
Pettex	0.1037	0.0261
Pettre	0.1016	0.0254
Phaacu	0.1181	0.0285
Pleela	0.1004	0.0251
Plemul	0.1007	0.0252
Plepar	0.1059	0.0258
Plestr	0.1001	0.0250
Pscbab	0.1005	0.0251
Psccur	0.1068	0.0259
Pscmar	0.1126	0.0277
Pscmrg	0.1126	0.0277
Pscple	0.1191	0.0276
Psephi	0.1118	0.0265
Regcal	0.1204	0.0281
Sarcar	0.1189	0.0287
Sermac	0.1252	0.0295
Simdia	0.1100	0.0270
Spaery	0.1290	0.0298
Spamar	0.1231	0.0281
Tanirs	0.1279	0.0286
Tchdha	0.1067	0.0260
Telbif	0.1183	0.0277
Telbra	0.1177	0.0275
Telbri	0.1184	0.0277
TeldhN	0.1135	0.0272
TeldhS	0.1229	0.0281
TeldhT	0.1181	0.0277
Tellon	0.1227	0.0281
Telluf	0.1278	0.0286
Telshe	0.1265	0.0284
TelteS	0.1180	0.0276
Telvit	0.1332	0.0293
Thobra	0.1097	0.0269
Trecap	0.1055	0.0259
Tremac	0.1105	0.0264
Tremar	0.1169	0.0273
Trenig	0.1218	0.0279
Tresti	0.1147	0.0275
Treuni	0.1006	0.0252
Trezeb	0.1168	0.0272
Trioto	0.1105	0.0272
Troann	0.1074	0.0262
Trobri	0.1074	0.0262
TrobrK	0.1074	0.0262
Trodub	0.1122	0.0266
Trokir	0.1133	0.0270
Troluk	0.1077	0.0263
Trolun	0.1074	0.0262
Tromoo	0.1076	0.0263
Tromor	0.1076	0.0263
Trompi	0.1074	0.0262
Tronig	0.1136	0.0271
Tropol	0.1074	0.0262
Trored	0.1074	0.0262
Varmoo	0.1315	0.0295
Xchhec	0.0946	0.0243
Xenbat	0.1249	0.0295
Xenbou	0.1260	0.0299
Xencau	0.1014	0.0267
Xenfla	0.1231	0.0290
Xenkil	0.1272	0.0302
Xenlon	0.1217	0.0296
Xennas	0.1115	0.0274
XenniS	0.1135	0.0281
Xenoch	0.1333	0.0311
Xenorn	0.1142	0.0283
XenpaK	0.1136	0.0282
Xenpap	0.1209	0.0293
Xensim	0.1187	0.0287
Xensin	0.1255	0.0298
Xenspi	0.1128	0.0279
XenspN	0.1134	0.0281
Xensun	0.1136	0.0282
