site	mod	first_Lh	first_conv	sec_Lh	sec_conv	thi_Lh	thi_conv	final_Lh	max_it
OT_46	ind	-120.203375	0.824509431841138	NA	NA	NA	NA	-120.203375	7
OT_46	dep	-125.306253	0.787445710203746	NA	NA	NA	NA	-125.306253	7
OT_48	ind	-120.39698	-0.713228265213972	NA	NA	NA	NA	-120.39698	7
OT_48	dep	-124.858947	1.00025182272576	NA	NA	NA	NA	-124.858947	7
OT_51	ind	-136.476264	-0.962701434532426	NA	NA	NA	NA	-136.476264	7
OT_51	dep	-148.381581	-506.658860862358	-145.594426	-0.803027477806766	NA	NA	-145.594426	8
OT_56	ind	-130.502385	1.74872138447738	NA	NA	NA	NA	-130.502385	7
OT_56	dep	-139.674576	-1.04300753906233	NA	NA	NA	NA	-139.674576	7
OT_68	ind	-115.051063	-1.46514564815768	NA	NA	NA	NA	-115.051063	7
OT_68	dep	-119.194743	-0.992781591866787	NA	NA	NA	NA	-119.194743	7
OT_74	ind	-119.803942	1.5032141186862	NA	NA	NA	NA	-119.803942	7
OT_74	dep	-124.867289	0.542497783403257	NA	NA	NA	NA	-124.867289	7
OT_76	ind	-141.24446	-0.479156347792774	NA	NA	NA	NA	-141.24446	7
OT_76	dep	-148.065093	-38.3275494661131	-150.295462	-0.621813686820196	NA	NA	-150.295462	8
OT_91	ind	-119.740042	0.927454413881619	NA	NA	NA	NA	-119.740042	7
OT_91	dep	-125.463576	-0.44878929481267	NA	NA	NA	NA	-125.463576	7
OT_9	ind	-120.340343	-1.05342053757979	NA	NA	NA	NA	-120.340343	7
OT_9	dep	-124.487281	-1.3189505534723	NA	NA	NA	NA	-124.487281	7
OTRa_11	ind	-134.120636	-0.745117138146623	NA	NA	NA	NA	-134.120636	7
OTRa_11	dep	-147.710935	0.0777687824388618	NA	NA	NA	NA	-147.710935	7
OTRa_138	ind	-114.452982	-0.777805696199183	NA	NA	NA	NA	-114.452982	7
OTRa_138	dep	-120.353628	0.947917206112283	NA	NA	NA	NA	-120.353628	7
OTRa_13	ind	-130.951947	1.00145520030674	NA	NA	NA	NA	-130.951947	7
OTRa_13	dep	-139.382292	0.0866985148617152	NA	NA	NA	NA	-139.382292	7
OTRa_14	ind	-155.441812	0.677292737935405	NA	NA	NA	NA	-155.441812	7
OTRa_14	dep	-201.57223	-0.32830671259665	NA	NA	NA	NA	-201.57223	7
OTRa_15	ind	-119.688294	0.149556556573074	NA	NA	NA	NA	-119.688294	7
OTRa_15	dep	-123.883956	-0.144623695219622	NA	NA	NA	NA	-123.883956	7
OTRa_165	ind	-120.218668	-2.52981066564741	-119.84841	2.55081465825794	-119.929718	-0.688676653135837	-119.929718	9
OTRa_165	dep	-123.763879	1.26903982556224	NA	NA	NA	NA	-123.763879	7
OTRa_169	ind	-115.073747	1.6135057675515	NA	NA	NA	NA	-115.073747	7
OTRa_169	dep	-119.655342	-2.14917022705282	-118.571015	0.983742940956614	NA	NA	-118.571015	8
OTRa_186	ind	-132.564315	-1.35960056400738	NA	NA	NA	NA	-132.564315	7
OTRa_186	dep	-145.194948	-255.733530407941	-143.991316	-0.426667980910912	NA	NA	-143.991316	8
OTRa_205	ind	-128.247642	0.352828572154713	NA	NA	NA	NA	-128.247642	7
OTRa_205	dep	-131.911953	0.0508451705640742	NA	NA	NA	NA	-131.911953	7
OTRa_21	ind	-120.057184	1.1220262178956	NA	NA	NA	NA	-120.057184	7
OTRa_21	dep	-123.627375	-0.16497574914044	NA	NA	NA	NA	-123.627375	7
OTRa_23	ind	-124.805838	-0.342056246124654	NA	NA	NA	NA	-124.805838	7
OTRa_23	dep	-129.298897	1.92830898417158	NA	NA	NA	NA	-129.298897	7
OTRa_248	ind	-132.3596	-0.773992326334022	NA	NA	NA	NA	-132.3596	7
OTRa_248	dep	-135.265868	0.49841265867771	NA	NA	NA	NA	-135.265868	7
OTRa_24	ind	-120.110518	1.09640076762091	NA	NA	NA	NA	-120.110518	7
OTRa_24	dep	-125.736993	1.33047391076571	NA	NA	NA	NA	-125.736993	7
OTRa_256	ind	-114.242133	-0.784627804046808	NA	NA	NA	NA	-114.242133	7
OTRa_256	dep	-119.755152	-0.719500791981308	NA	NA	NA	NA	-119.755152	7
OTRa_260	ind	-124.822876	0.235590640761208	NA	NA	NA	NA	-124.822876	7
OTRa_260	dep	-128.508611	0.866113809428076	NA	NA	NA	NA	-128.508611	7
OTRa_27	ind	-119.182984	-0.46471107338993	NA	NA	NA	NA	-119.182984	7
OTRa_27	dep	-125.743051	-0.675471210611382	NA	NA	NA	NA	-125.743051	7
OTRa_2	ind	-119.734889	0.858065975791605	NA	NA	NA	NA	-119.734889	7
OTRa_2	dep	-125.116952	-1.09102622330602	NA	NA	NA	NA	-125.116952	7
OTRa_304	ind	-119.723522	0.298315093231602	NA	NA	NA	NA	-119.723522	7
OTRa_304	dep	-124.569829	0.0997503550911876	NA	NA	NA	NA	-124.569829	7
OTRa_337	ind	-119.729282	1.00551441110194	NA	NA	NA	NA	-119.729282	7
OTRa_337	dep	-125.613856	0.484679340919101	NA	NA	NA	NA	-125.613856	7
OTRa_344	ind	-114.950835	-0.268832644636084	NA	NA	NA	NA	-114.950835	7
OTRa_344	dep	-119.8367	0.778169745849991	NA	NA	NA	NA	-119.8367	7
OTRa_352	ind	-119.752406	0.673878866380172	NA	NA	NA	NA	-119.752406	7
OTRa_352	dep	-124.777646	1.0141596915636	NA	NA	NA	NA	-124.777646	7
OTRa_355	ind	-119.667592	1.52165556222456	NA	NA	NA	NA	-119.667592	7
OTRa_355	dep	-125.844408	-0.0435484495669553	NA	NA	NA	NA	-125.844408	7
OTRa_360	ind	-120.263447	-1.07066157202228	NA	NA	NA	NA	-120.263447	7
OTRa_360	dep	-124.910853	1.07185772251276	NA	NA	NA	NA	-124.910853	7
OTRa_362	ind	-119.538477	0.208080888179876	NA	NA	NA	NA	-119.538477	7
OTRa_362	dep	-125.34032	0.864571455471544	NA	NA	NA	NA	-125.34032	7
OTRa_363	ind	-123.993917	1.23931597778936	NA	NA	NA	NA	-123.993917	7
OTRa_363	dep	-129.178077	-1.49189413123343	NA	NA	NA	NA	-129.178077	7
OTRa_364	ind	-119.385977	1.04995268697384	NA	NA	NA	NA	-119.385977	7
OTRa_364	dep	-125.275465	-1.20616200335816	NA	NA	NA	NA	-125.275465	7
OTRa_378	ind	-114.64773	0.00666624165651602	NA	NA	NA	NA	-114.64773	7
OTRa_378	dep	-119.152352	0.648465208388392	NA	NA	NA	NA	-119.152352	7
OTRa_382	ind	-114.895243	1.00009463942589	NA	NA	NA	NA	-114.895243	7
OTRa_382	dep	-119.760183	0.745111082002537	NA	NA	NA	NA	-119.760183	7
OTRa_43	ind	-119.805654	-0.786874208165606	NA	NA	NA	NA	-119.805654	7
OTRa_43	dep	-124.536426	-1.00158042874272	NA	NA	NA	NA	-124.536426	7
OTRa_6	ind	-114.84571	0.500082883398216	NA	NA	NA	NA	-114.84571	7
OTRa_6	dep	-120.587254	-0.989560022069189	NA	NA	NA	NA	-120.587254	7
OTRa_73	ind	-119.558506	0.324535893188803	NA	NA	NA	NA	-119.558506	7
OTRa_73	dep	-124.399049	-1.60931006396575	NA	NA	NA	NA	-124.399049	7
OTRa_74	ind	-115.307856	0.822251578139973	NA	NA	NA	NA	-115.307856	7
OTRa_74	dep	-119.848547	1.20350245702102	NA	NA	NA	NA	-119.848547	7
OTRb.tr1_114	ind	-114.599885	0.197707788978224	NA	NA	NA	NA	-114.599885	7
OTRb.tr1_114	dep	-119.878788	0.756910277031755	NA	NA	NA	NA	-119.878788	7
OTRb.tr1_12	ind	-114.755387	0.998925263669257	NA	NA	NA	NA	-114.755387	7
OTRb.tr1_12	dep	-119.769809	0.737249673368338	NA	NA	NA	NA	-119.769809	7
OTRb.tr1_13	ind	-120.734598	0.206228628974912	NA	NA	NA	NA	-120.734598	7
OTRb.tr1_13	dep	-125.466525	-0.751997060481972	NA	NA	NA	NA	-125.466525	7
OTRb.tr1_145	ind	-127.923839	0.929037635734674	NA	NA	NA	NA	-127.923839	7
OTRb.tr1_145	dep	-133.061359	-0.305009072398639	NA	NA	NA	NA	-133.061359	7
OTRb.tr1_152	ind	-134.045301	0.900732961627617	NA	NA	NA	NA	-134.045301	7
OTRb.tr1_152	dep	-139.261192	1.18853669210649	NA	NA	NA	NA	-139.261192	7
OTRb.tr1_153	ind	-118.911597	1.44315409639163	NA	NA	NA	NA	-118.911597	7
OTRb.tr1_153	dep	-123.824338	-0.670478577221576	NA	NA	NA	NA	-123.824338	7
OTRb.tr1_154	ind	-137.57443	0.847231626828493	NA	NA	NA	NA	-137.57443	7
OTRb.tr1_154	dep	-145.410342	-0.921904639613106	NA	NA	NA	NA	-145.410342	7
OTRb.tr1_156	ind	-115.191628	-1.10208444840285	NA	NA	NA	NA	-115.191628	7
OTRb.tr1_156	dep	-119.496749	0.714996737799166	NA	NA	NA	NA	-119.496749	7
OTRb.tr1_159	ind	-114.509452	-0.0860249783777819	NA	NA	NA	NA	-114.509452	7
OTRb.tr1_159	dep	-119.547273	-0.26339609340882	NA	NA	NA	NA	-119.547273	7
OTRb.tr1_15	ind	-137.654654	-0.198775348023766	NA	NA	NA	NA	-137.654654	7
OTRb.tr1_15	dep	-207.387769	0.935976635898311	NA	NA	NA	NA	-207.387769	7
OTRb.tr1_162	ind	-114.641455	-1.43470637721783	NA	NA	NA	NA	-114.641455	7
OTRb.tr1_162	dep	-120.445842	-1.04727597707187	NA	NA	NA	NA	-120.445842	7
OTRb.tr1_164	ind	-120.35143	-1.37847424934248	NA	NA	NA	NA	-120.35143	7
OTRb.tr1_164	dep	-125.24117	-0.907619161887574	NA	NA	NA	NA	-125.24117	7
OTRb.tr1_166	ind	-135.155663	1.53747953539626	NA	NA	NA	NA	-135.155663	7
OTRb.tr1_166	dep	-145.847585	0.628114113712171	NA	NA	NA	NA	-145.847585	7
OTRb.tr1_173	ind	-124.720021	-0.546894296575372	NA	NA	NA	NA	-124.720021	7
OTRb.tr1_173	dep	-129.988691	-0.372553021065317	NA	NA	NA	NA	-129.988691	7
OTRb.tr1_176	ind	-137.800787	-0.669909639926466	NA	NA	NA	NA	-137.800787	7
OTRb.tr1_176	dep	-145.885262	-0.447364495509212	NA	NA	NA	NA	-145.885262	7
OTRb.tr1_19	ind	-124.278854	-2.49439821072546	-124.005106	-1.08645759957941	NA	NA	-124.005106	8
OTRb.tr1_19	dep	-130.192224	-0.0720480871883051	NA	NA	NA	NA	-130.192224	7
OTRb.tr1_210	ind	-137.122851	1.79679634027272	NA	NA	NA	NA	-137.122851	7
OTRb.tr1_210	dep	-146.966155	-1.63740594707451	NA	NA	NA	NA	-146.966155	7
OTRb.tr1_221	ind	-124.674033	-0.637051000737567	NA	NA	NA	NA	-124.674033	7
OTRb.tr1_221	dep	-129.821795	-0.477133201682965	NA	NA	NA	NA	-129.821795	7
OTRb.tr1_236	ind	-115.09585	-0.33558776879566	NA	NA	NA	NA	-115.09585	7
OTRb.tr1_236	dep	-120.33828	0.144143951249092	NA	NA	NA	NA	-120.33828	7
OTRb.tr1_23	ind	-119.619854	0.957260537844447	NA	NA	NA	NA	-119.619854	7
OTRb.tr1_23	dep	-124.808204	-1.6334066385047	NA	NA	NA	NA	-124.808204	7
OTRb.tr1_241	ind	-114.976401	-0.629124560500646	NA	NA	NA	NA	-114.976401	7
OTRb.tr1_241	dep	-119.523297	0.87864699336713	NA	NA	NA	NA	-119.523297	7
OTRb.tr1_247	ind	-126.171835	-0.961230174834608	NA	NA	NA	NA	-126.171835	7
OTRb.tr1_247	dep	-131.144353	2.05318613737178	-131.332142	-0.210374024122006	NA	NA	-131.332142	8
OTRb.tr1_251	ind	-114.45896	0.669283355940757	NA	NA	NA	NA	-114.45896	7
OTRb.tr1_251	dep	-119.368543	0.723251698778767	NA	NA	NA	NA	-119.368543	7
OTRb.tr1_252	ind	-130.239553	-0.0986222527552108	NA	NA	NA	NA	-130.239553	7
OTRb.tr1_252	dep	-140.465332	-0.280059125910882	NA	NA	NA	NA	-140.465332	7
OTRb.tr1_255	ind	-124.700126	-0.638187627299545	NA	NA	NA	NA	-124.700126	7
OTRb.tr1_255	dep	-127.932298	-1.0153916501002	NA	NA	NA	NA	-127.932298	7
OTRb.tr1_258	ind	-120.077042	-0.870702893362041	NA	NA	NA	NA	-120.077042	7
OTRb.tr1_258	dep	-124.568143	1.22998741672316	NA	NA	NA	NA	-124.568143	7
OTRb.tr1_25	ind	-130.939591	-0.167745235264061	NA	NA	NA	NA	-130.939591	7
OTRb.tr1_25	dep	-139.448393	-1.2716955647333	NA	NA	NA	NA	-139.448393	7
OTRb.tr1_28	ind	-114.578648	-1.15217385787843	NA	NA	NA	NA	-114.578648	7
OTRb.tr1_28	dep	-119.109578	-1.32627858179387	NA	NA	NA	NA	-119.109578	7
OTRb.tr1_304	ind	-120.080597	-0.311004047369755	NA	NA	NA	NA	-120.080597	7
OTRb.tr1_304	dep	-125.564202	-0.497651591061268	NA	NA	NA	NA	-125.564202	7
OTRb.tr1_310	ind	-114.553508	1.09674285733007	NA	NA	NA	NA	-114.553508	7
OTRb.tr1_310	dep	-119.88706	1.87182862612862	NA	NA	NA	NA	-119.88706	7
OTRb.tr1_311	ind	-114.895727	1.28755727827942	NA	NA	NA	NA	-114.895727	7
OTRb.tr1_311	dep	-120.168454	1.85012911993528	NA	NA	NA	NA	-120.168454	7
OTRb.tr1_313	ind	-115.232488	-1.12288497094468	NA	NA	NA	NA	-115.232488	7
OTRb.tr1_313	dep	-119.416419	-0.813099949690294	NA	NA	NA	NA	-119.416419	7
OTRb.tr1_314	ind	-131.035538	3.36783692346469	-130.94472	-0.638986241462923	NA	NA	-130.94472	8
OTRb.tr1_314	dep	-137.619359	-0.721441718756693	NA	NA	NA	NA	-137.619359	7
OTRb.tr1_315	ind	-131.664979	-0.31476520613175	NA	NA	NA	NA	-131.664979	7
OTRb.tr1_315	dep	-138.46499	-0.52527206659893	NA	NA	NA	NA	-138.46499	7
OTRb.tr1_316	ind	-130.88755	0.511059845424978	NA	NA	NA	NA	-130.88755	7
OTRb.tr1_316	dep	-137.310641	1.42048630708979	NA	NA	NA	NA	-137.310641	7
OTRb.tr1_317	ind	-130.772333	0.0303045503978438	NA	NA	NA	NA	-130.772333	7
OTRb.tr1_317	dep	-138.523864	-0.17541037484014	NA	NA	NA	NA	-138.523864	7
OTRb.tr1_318	ind	-130.003818	0.162724921118228	NA	NA	NA	NA	-130.003818	7
OTRb.tr1_318	dep	-140.24653	2.1248728582246	-141.058107	0.283149749127393	NA	NA	-141.058107	8
OTRb.tr1_319	ind	-121.837378	-0.751812081100509	NA	NA	NA	NA	-121.837378	7
OTRb.tr1_319	dep	-126.347536	0.256814285749291	NA	NA	NA	NA	-126.347536	7
OTRb.tr1_320	ind	-130.654597	0.493804157022781	NA	NA	NA	NA	-130.654597	7
OTRb.tr1_320	dep	-137.325577	0.422351772754062	NA	NA	NA	NA	-137.325577	7
OTRb.tr1_321	ind	-130.68617	0.840724102948353	NA	NA	NA	NA	-130.68617	7
OTRb.tr1_321	dep	-137.857065	-0.34648583846835	NA	NA	NA	NA	-137.857065	7
OTRb.tr1_322	ind	-131.605959	-0.492572880072394	NA	NA	NA	NA	-131.605959	7
OTRb.tr1_322	dep	-137.320664	0.194434526538185	NA	NA	NA	NA	-137.320664	7
OTRb.tr1_323	ind	-130.130747	0.773489036163391	NA	NA	NA	NA	-130.130747	7
OTRb.tr1_323	dep	-137.126369	-4.02175977122486	-136.573243	-0.997207516521816	NA	NA	-136.573243	8
OTRb.tr1_324	ind	-131.712521	1.00623804137292	NA	NA	NA	NA	-131.712521	7
OTRb.tr1_324	dep	-137.640289	-0.485337033286505	NA	NA	NA	NA	-137.640289	7
OTRb.tr1_325	ind	-130.911256	0.3167226490855	NA	NA	NA	NA	-130.911256	7
OTRb.tr1_325	dep	-138.224691	0.980390118204009	NA	NA	NA	NA	-138.224691	7
OTRb.tr1_326	ind	-129.413243	1.60575230885161	NA	NA	NA	NA	-129.413243	7
OTRb.tr1_326	dep	-140.270327	0.998099511350688	NA	NA	NA	NA	-140.270327	7
OTRb.tr1_327	ind	-131.07974	1.97176794573874	-131.779841	-1.63405707302576	NA	NA	-131.779841	8
OTRb.tr1_327	dep	-138.090852	-0.831370330057829	NA	NA	NA	NA	-138.090852	7
OTRb.tr1_328	ind	-130.51528	-1.2228870657978	NA	NA	NA	NA	-130.51528	7
OTRb.tr1_328	dep	-136.39913	-0.846374033381049	NA	NA	NA	NA	-136.39913	7
OTRb.tr1_329	ind	-131.308328	1.00032575926558	NA	NA	NA	NA	-131.308328	7
OTRb.tr1_329	dep	-137.79167	-3.04892380881026	-137.52436	1.92579197624703	NA	NA	-137.52436	8
OTRb.tr1_330	ind	-128.71619	0.435747786081944	NA	NA	NA	NA	-128.71619	7
OTRb.tr1_330	dep	-136.680856	0.638826513486348	NA	NA	NA	NA	-136.680856	7
OTRb.tr1_331	ind	-131.256635	1.31059742169397	NA	NA	NA	NA	-131.256635	7
OTRb.tr1_331	dep	-136.95385	0.660453597865639	NA	NA	NA	NA	-136.95385	7
OTRb.tr1_332	ind	-131.222441	-0.392930816187344	NA	NA	NA	NA	-131.222441	7
OTRb.tr1_332	dep	-137.704958	-1.65636573524364	NA	NA	NA	NA	-137.704958	7
OTRb.tr1_333	ind	-131.604861	-0.631644656116344	NA	NA	NA	NA	-131.604861	7
OTRb.tr1_333	dep	-138.295059	1.87925911609263	NA	NA	NA	NA	-138.295059	7
OTRb.tr1_334	ind	-131.044223	-0.121007656692302	NA	NA	NA	NA	-131.044223	7
OTRb.tr1_334	dep	-137.977155	-2.4985993980007	-137.37211	0.693412269665361	NA	NA	-137.37211	8
OTRb.tr1_335	ind	-130.735718	-0.257214099553724	NA	NA	NA	NA	-130.735718	7
OTRb.tr1_335	dep	-136.948864	-1.52907878065065	NA	NA	NA	NA	-136.948864	7
OTRb.tr1_336	ind	-128.940622	-1.25457107607643	NA	NA	NA	NA	-128.940622	7
OTRb.tr1_336	dep	-136.434287	0.755372352145197	NA	NA	NA	NA	-136.434287	7
OTRb.tr1_337	ind	-131.339299	1.92300482853143	NA	NA	NA	NA	-131.339299	7
OTRb.tr1_337	dep	-137.992621	0.530699568064341	NA	NA	NA	NA	-137.992621	7
OTRb.tr1_338	ind	-131.160102	0.449279904630076	NA	NA	NA	NA	-131.160102	7
OTRb.tr1_338	dep	-138.223287	-0.735464938406925	NA	NA	NA	NA	-138.223287	7
OTRb.tr1_339	ind	-132.12123	0.0248431052688771	NA	NA	NA	NA	-132.12123	7
OTRb.tr1_339	dep	-137.067139	0.186272528177047	NA	NA	NA	NA	-137.067139	7
OTRb.tr1_33	ind	-115.128682	1.0736174066653	NA	NA	NA	NA	-115.128682	7
OTRb.tr1_33	dep	-119.727262	1.90458648807495	NA	NA	NA	NA	-119.727262	7
OTRb.tr1_340	ind	-131.111132	-3.44832275350709	-131.416996	-0.358661744977046	NA	NA	-131.416996	8
OTRb.tr1_340	dep	-138.774632	4.17242281144596	-137.861825	0.48731880678321	NA	NA	-137.861825	8
OTRb.tr1_341	ind	-131.418815	-1.03861453379981	NA	NA	NA	NA	-131.418815	7
OTRb.tr1_341	dep	-136.840036	1.42953510195372	NA	NA	NA	NA	-136.840036	7
OTRb.tr1_342	ind	-129.289681	-0.253701061773235	NA	NA	NA	NA	-129.289681	7
OTRb.tr1_342	dep	-135.316444	-2.28583298984334	-136.01532	1.21976334362916	NA	NA	-136.01532	8
OTRb.tr1_343	ind	-130.596367	-1.3345570137449	NA	NA	NA	NA	-130.596367	7
OTRb.tr1_343	dep	-137.995429	-1.16740409136484	NA	NA	NA	NA	-137.995429	7
OTRb.tr1_344	ind	-130.669536	-0.764367475875009	NA	NA	NA	NA	-130.669536	7
OTRb.tr1_344	dep	-137.928459	-1.34916314418411	NA	NA	NA	NA	-137.928459	7
OTRb.tr1_345	ind	-130.997181	-0.658933563165432	NA	NA	NA	NA	-130.997181	7
OTRb.tr1_345	dep	-137.74939	0.448932562887841	NA	NA	NA	NA	-137.74939	7
OTRb.tr1_346	ind	-144.782305	0.666717299964813	NA	NA	NA	NA	-144.782305	7
OTRb.tr1_346	dep	-157.276583	-38.9393103844272	-157.663223	-0.926672069200164	NA	NA	-157.663223	8
OTRb.tr1_347	ind	-131.539799	0.258593292943975	NA	NA	NA	NA	-131.539799	7
OTRb.tr1_347	dep	-136.981877	-0.474949384174352	NA	NA	NA	NA	-136.981877	7
OTRb.tr1_348	ind	-130.313138	-0.657068945679869	NA	NA	NA	NA	-130.313138	7
OTRb.tr1_348	dep	-137.452612	-1.55917359050089	NA	NA	NA	NA	-137.452612	7
OTRb.tr1_349	ind	-131.317699	1.10317617222751	NA	NA	NA	NA	-131.317699	7
OTRb.tr1_349	dep	-137.590091	-1.14234301849216	NA	NA	NA	NA	-137.590091	7
OTRb.tr1_350	ind	-131.30924	0.708259009584689	NA	NA	NA	NA	-131.30924	7
OTRb.tr1_350	dep	-137.376283	1.57072461011253	NA	NA	NA	NA	-137.376283	7
OTRb.tr1_351	ind	-131.47365	-1.69129076388081	NA	NA	NA	NA	-131.47365	7
OTRb.tr1_351	dep	-138.276118	-0.188842065283421	NA	NA	NA	NA	-138.276118	7
OTRb.tr1_352	ind	-124.208973	-0.116809942412442	NA	NA	NA	NA	-124.208973	7
OTRb.tr1_352	dep	-135.196346	-0.406820637643861	NA	NA	NA	NA	-135.196346	7
OTRb.tr1_353	ind	-130.913553	0.753987028877154	NA	NA	NA	NA	-130.913553	7
OTRb.tr1_353	dep	-136.979902	1.10988852367991	NA	NA	NA	NA	-136.979902	7
OTRb.tr1_354	ind	-134.275126	1.50211748875053	NA	NA	NA	NA	-134.275126	7
OTRb.tr1_354	dep	-140.060216	-1.20048776174378	NA	NA	NA	NA	-140.060216	7
OTRb.tr1_355	ind	-135.28453	-0.364762871822217	NA	NA	NA	NA	-135.28453	7
OTRb.tr1_355	dep	-140.739986	-1.58774605922548	NA	NA	NA	NA	-140.739986	7
OTRb.tr1_356	ind	-135.848897	0.775236548228303	NA	NA	NA	NA	-135.848897	7
OTRb.tr1_356	dep	-140.93892	-0.910529922305726	NA	NA	NA	NA	-140.93892	7
OTRb.tr1_49	ind	-114.455354	-0.826694881823474	NA	NA	NA	NA	-114.455354	7
OTRb.tr1_49	dep	-119.313617	0.891921904624496	NA	NA	NA	NA	-119.313617	7
OTRb.tr1_51	ind	-124.035438	-0.128070807829567	NA	NA	NA	NA	-124.035438	7
OTRb.tr1_51	dep	-129.313977	1.30540054195383	NA	NA	NA	NA	-129.313977	7
OTRb.tr1_62	ind	-136.198713	-1.05898035560349	NA	NA	NA	NA	-136.198713	7
OTRb.tr1_62	dep	-183.486698	-0.16240799349985	NA	NA	NA	NA	-183.486698	7
OTRb.tr1_63	ind	-119.74475	-0.110172999253459	NA	NA	NA	NA	-119.74475	7
OTRb.tr1_63	dep	-124.271116	-0.733350813753309	NA	NA	NA	NA	-124.271116	7
OTRb.tr1_66	ind	-119.31414	1.45308606727431	NA	NA	NA	NA	-119.31414	7
OTRb.tr1_66	dep	-125.103408	-0.683490114697378	NA	NA	NA	NA	-125.103408	7
OTRb.tr1_8	ind	-120.284557	0.17043161765304	NA	NA	NA	NA	-120.284557	7
OTRb.tr1_8	dep	-124.657547	1.12837122429878	NA	NA	NA	NA	-124.657547	7
OTRb.tr1_94	ind	-120.343225	-0.823918466712321	NA	NA	NA	NA	-120.343225	7
OTRb.tr1_94	dep	-125.12764	-0.18686107582376	NA	NA	NA	NA	-125.12764	7
OTRb.tr2_114	ind	-114.62662	1.34298685854624	NA	NA	NA	NA	-114.62662	7
OTRb.tr2_114	dep	-119.202065	0.588943187711639	NA	NA	NA	NA	-119.202065	7
OTRb.tr2_12	ind	-115.62942	1.12732950918788	NA	NA	NA	NA	-115.62942	7
OTRb.tr2_12	dep	-120.253718	-0.773930223803277	NA	NA	NA	NA	-120.253718	7
OTRb.tr2_13	ind	-119.804975	-0.822041190128562	NA	NA	NA	NA	-119.804975	7
