spp	exon1	exon2
Trobri	0.1135	0.0994
TrobrK	0.1135	0.0994
Trodub	0.1135	0.1255
Trokir	0.1206	0.0994
Troluk	0.1141	0.0994
Trolun	0.1135	0.0994
Tromoo	0.1135	0.1017
Tromor	0.1135	0.0996
Trompi	0.1135	0.0994
Tronig	0.121	0.0994
Tropol	0.1135	0.0994
Trored	0.1135	0.0994
Varmoo	0.1579	0.0756
Xchhec	0.1042	0.0772
Xenbat	0.1306	0.0973
Xenbou	0.1204	0.1161
Xencau	0.0959	0.097
Xenfla	0.1201	0.1294
Xenkil	0.1291	0.0997
Xenlon	0.1129	0.1216
Xennas	0.1121	0.0997
XenniS	0.1135	0.0966
Xenoch	0.1288	0.1195
Xenorn	0.1137	0.0973
XenpaK	0.1124	0.0973
Xenpap	0.1136	0.1166
Xensim	0.1201	0.0973
Xensin	0.1288	0.0973
Xenspi	0.1122	0.0973
XenspN	0.1129	0.0973
Xensun	0.1124	0.0973
