spp	dS	SE
Petfas	0.118	0.0501
Petgia	0.0994	0.0457
Pethor	0.1044	0.0482
Petiko	0.0994	0.0457
Petkas	0.0994	0.0457
Petkip	0.0994	0.0457
Petmac	0.1024	0.0472
Petmos	0.1019	0.0469
Petort	0.1003	0.0462
Petpol	0.0994	0.0457
Petrai	0.0994	0.0457
Petred	0.0846	0.0432
Pettex	0.0994	0.0457
Pettre	0.0994	0.0457
Phaacu	0.0994	0.0457
Pleela	0.0938	0.0435
Plemul	0.094	0.0436
Plepar	0.0952	0.0442
Plestr	0.0765	0.0393
Pscbab	0.0966	0.0444
Psccur	0.1052	0.0486
Pscmar	0.1183	0.05
Pscmrg	0.1183	0.05
Pscple	0.118	0.05
Psephi	0.0996	0.0458
Regcal	0.1035	0.0477
Sarcar	0.0994	0.0457
Sermac	0.0994	0.0457
Simdia	0.0994	0.0457
Spaery	0.0935	0.0434
Spamar	0.0935	0.0434
Tanirs	0.1006	0.047
Tchdha	0.1257	0.0536
Telbif	0.0584	0.0344
Telbra	0.0753	0.0387
Telbri	0.0586	0.0344
TeldhN	0.0583	0.0343
TeldhS	0.0756	0.0388
TeldhT	0.0577	0.0339
Tellon	0.0756	0.0388
Telluf	0.0756	0.0388
Telshe	0.0906	0.042
TelteS	0.0748	0.0385
Telvit	0.1097	0.047
Thobra	0.0994	0.0457
Trecap	0.1119	0.0479
Tremac	0.1117	0.0479
Tremar	0.1113	0.0476
Trenig	0.1303	0.0523
Tresti	0.118	0.0507
Treuni	0.0935	0.0434
Trezeb	0.1128	0.0483
Trioto	0.0764	0.0392
Troann	0.0994	0.0457
Trobri	0.0994	0.0457
TrobrK	0.0994	0.0457
Trodub	0.1255	0.0529
Trokir	0.0994	0.0457
Troluk	0.0994	0.0457
Trolun	0.0994	0.0457
Tromoo	0.1017	0.0468
Tromor	0.0996	0.0458
Trompi	0.0994	0.0457
Tronig	0.0994	0.0457
Tropol	0.0994	0.0457
Trored	0.0994	0.0457
Varmoo	0.0756	0.0388
Xchhec	0.0772	0.0397
Xenbat	0.0973	0.0452
Xenbou	0.1161	0.0499
Xencau	0.097	0.0451
Xenfla	0.1294	0.0563
Xenkil	0.0997	0.0464
Xenlon	0.1216	0.0524
Xennas	0.0997	0.0464
XenniS	0.0966	0.0449
Xenoch	0.1195	0.0514
Xenorn	0.0973	0.0452
XenpaK	0.0973	0.0452
Xenpap	0.1166	0.0501
Xensim	0.0973	0.0452
Xensin	0.0973	0.0452
Xenspi	0.0973	0.0452
XenspN	0.0973	0.0452
Xensun	0.0973	0.0452
