Organism	Sample Name	short	Run	Experiment	Age	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	dev_stage	Instrument	Isolate	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Platform	ReleaseDate	sex	SRA Study	Tissue	birth_location	Isolation_source	sub_species	BREED	Cultivar	Ecotype	STRAIN
Bathybates fasciatus	ITH3	batfas_ITH3	SRR9665718	SRX6426515	missing	WGS	252	14159593224	PRJNA550295	SAMN12123750	Model organism or animal	5117052051	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	ITH3	ITH3	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Bathybates fasciatus	GPB2	batfas_GPB2	SRR9657534	SRX6418727	missing	WGS	252	9609005448	PRJNA550295	SAMN12123635	Model organism or animal	3887214108	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	GPB2	GPB2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Bathybates ferox	LCD6	batfer_LCD6	SRR9673886	SRX6434334	missing	WGS	252	8324053668	PRJNA550295	SAMN12124037	Model organism or animal	2840934427	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	LCD6	LCD6	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Bathybates ferox	LCD7	batfer_LCD7	SRR9673887	SRX6434333	missing	WGS	252	7870295664	PRJNA550295	SAMN12124038	Model organism or animal	2668550074	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	LCD7	LCD7	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Bathybates graueri	IUI8	batgra_IUI8	SRR9665683	SRX6426550	missing	WGS	252	9337986000	PRJNA550295	SAMN12123761	Model organism or animal	3780089554	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	IUI8	IUI8	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Bathybates graueri	ILG7	batgra_ILG7	SRR9657483	SRX6418778	missing	WGS	252	12484119816	PRJNA550295	SAMN12123663	Model organism or animal	4813697216	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	ILG7	ILG7	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Bathybates hornii	JDE4	bathor_JDE4	SRR9674020	SRX6434444	missing	WGS	252	15256580472	PRJNA550295	SAMN12123836	Model organism or animal	5486961622	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JDE4	JDE4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	missing	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Bathybates hornii	JDE3	bathor_JDE3	SRR9674021	SRX6434443	missing	WGS	252	10504788336	PRJNA550295	SAMN12123835	Model organism or animal	3673964189	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JDE3	JDE3	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Bathybates leo	ILF7	batleo_ILF7	SRR9657499	SRX6418762	missing	WGS	252	8975520288	PRJNA550295	SAMN12123660	Model organism or animal	3449887608	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	ILF7	ILF7	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Bathybates minor	IXA5	batmin_IXA5	SRR9665701	SRX6426532	missing	WGS	252	9574022052	PRJNA550295	SAMN12123780	Model organism or animal	3683969635	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	IXA5	IXA5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Bathybates minor	JBG3	batmin_JBG3	SRR9673966	SRX6434497	missing	WGS	252	9065377692	PRJNA550295	SAMN12123829	Model organism or animal	3191643541	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JBG3	JBG3	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Bathybates vittatus	ITD7	batvit_ITD7	SRR9665710	SRX6426523	missing	WGS	252	9663986556	PRJNA550295	SAMN12123748	Model organism or animal	3391371555	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	ITD7	ITD7	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Bathybates vittatus	JDE7	batvit_JDE7	SRR9674018	SRX6434446	missing	WGS	252	12871872720	PRJNA550295	SAMN12123838	Model organism or animal	4910834477	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JDE7	JDE7	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Bathybates vittatus	JDE6	batvit_JDE6	SRR9674019	SRX6434445	missing	WGS	252	13283829468	PRJNA550295	SAMN12123837	Model organism or animal	5306860994	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JDE6	JDE6	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Benthochromis horii	ILF8	benhor_ILF8	SRR9657485	SRX6418776	missing	WGS	252	11322493308	PRJNA550295	SAMN12123661	Model organism or animal	4372407510	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	ILF8	ILF8	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Benthochromis melanoides	ILG3	benmel_ILG3	SRR9657486	SRX6418775	missing	WGS	252	11396278404	PRJNA550295	SAMN12123662	Model organism or animal	4600880531	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	ILG3	ILG3	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Benthochromis melanoides	IXB8	benmel_IXB8	SRR9673991	SRX6434473	missing	WGS	252	9117121104	PRJNA550295	SAMN12123784	Model organism or animal	3142133428	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	IXB8	IXB8	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Benthochromis melanoides	IZA2	benmel_IZA2	SRR9674052	SRX6434411	missing	WGS	252	9115773156	PRJNA550295	SAMN12123796	Model organism or animal	3574992550	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	IZA2	IZA2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Benthochromis sp. 'horii mahale' AB-2019	LEF2	benhoM_LEF2	SRR9673911	SRX6434309	missing	WGS	252	16493381352	PRJNA550295	SAMN12124063	Model organism or animal	5988163618	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	LEF2	LEF2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Benthochromis tricoti	LDA9	bentri_LDA9	SRR9673942	SRX6434278	missing	WGS	252	10250289252	PRJNA550295	SAMN12124045	Model organism or animal	3634840225	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	LDA9	LDA9	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Benthochromis tricoti	LDA7	bentri_LDA7	SRR9673943	SRX6434277	missing	WGS	252	9310327992	PRJNA550295	SAMN12124044	Model organism or animal	3255082777	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	LDA7	LDA7	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Boulengerochromis microlepis	JAE7	boumic_JAE7	SRR9674003	SRX6434461	missing	WGS	245	18632871054	PRJNA550295	SAMN12123815	Model organism or animal	6696185223	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JAE7	JAE7	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Boulengerochromis microlepis	JCF2	boumic_JCF2	SRR9674024	SRX6434440	missing	WGS	245	20010985626	PRJNA550295	SAMN12123832	Model organism or animal	7374721763	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JCF2	JCF2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Callochromis macrops	BND5	calmac_BND5	SRR9657530	SRX6418731	missing	WGS	252	11069220204	PRJNA550295	SAMN12123631	Model organism or animal	3826462181	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	BND5	BND5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Callochromis macrops	BND3	calmac_BND3	SRR9657558	SRX6418703	missing	WGS	252	10214174628	PRJNA550295	SAMN12123630	Model organism or animal	3563656829	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	BND3	BND3	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Callochromis melanostigma	KAF4	calmel_KAF4	SRR9675366	SRX6435717	missing	WGS	252	10093416228	PRJNA550295	SAMN12123971	Model organism or animal	3451624386	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	KAF4	KAF4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Callochromis melanostigma	KAF3	calmel_KAF3	SRR9675380	SRX6435703	missing	WGS	252	9959818932	PRJNA550295	SAMN12123970	Model organism or animal	3460253298	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	KAF3	KAF3	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Callochromis pleurospilus	JZE2	calple_JZE2	SRR9675373	SRX6435710	missing	WGS	252	10520146980	PRJNA550295	SAMN12123958	Model organism or animal	3737810808	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JZE2	JZE2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Callochromis pleurospilus	JZE4	calple_JZE4	SRR9675378	SRX6435705	missing	WGS	245	21270683456	PRJNA550295	SAMN12123959	Model organism or animal	7669991389	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JZE4	JZE4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Cardiopharynx schoutedeni	KAF2	carsch_KAF2	SRR9675379	SRX6435704	missing	WGS	245	17493838274	PRJNA550295	SAMN12123969	Model organism or animal	6240783851	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	KAF2	KAF2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Cardiopharynx schoutedeni	KAF1	carsch_KAF1	SRR9675382	SRX6435701	missing	WGS	252	9519413148	PRJNA550295	SAMN12123968	Model organism or animal	3294282587	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	KAF1	KAF1	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Chalinochromis brichardi	AVA9	chabri_AVA9	SRR9657491	SRX6418770	missing	WGS	252	9548270172	PRJNA550295	SAMN12123596	Model organism or animal	3205330316	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	AVA9	AVA9	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Chalinochromis brichardi	AVB2	chabri_AVB2	SRR9657494	SRX6418767	missing	WGS	252	9216145008	PRJNA550295	SAMN12123597	Model organism or animal	3112976655	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	AVB2	AVB2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Chalinochromis cyanophleps	LGG7	chacya_LGG7	SRR9673838	SRX6434382	missing	WGS	252	9675744876	PRJNA550295	SAMN12124090	Model organism or animal	3442510839	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	LGG7	LGG7	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Chalinochromis cyanophleps	LGG6	chacya_LGG6	SRR9673839	SRX6434381	missing	WGS	252	10113125148	PRJNA550295	SAMN12124089	Model organism or animal	3428252631	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	LGG6	LGG6	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Chalinochromis popelini	Bel07	chapop_Bel07	SRR9657551	SRX6418710	missing	WGS	252	9765403956	PRJNA550295	SAMN12123621	Model organism or animal	3262948957	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	Bel07	Bel07	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Chalinochromis popelini	Bel09	chapop_Bel09	SRR9657552	SRX6418709	missing	WGS	252	8696582244	PRJNA550295	SAMN12123622	Model organism or animal	2974356724	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	Bel09	Bel09	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Chalinochromis sp. 'bifrenatus'	LDE1	chabif_LDE1	SRR9673902	SRX6434318	missing	WGS	252	9456293196	PRJNA550295	SAMN12124050	Model organism or animal	3311598417	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	LDE1	LDE1	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Chalinochromis sp. 'bifrenatus'	LDD9	chabif_LDD9	SRR9673905	SRX6434315	missing	WGS	252	9348261804	PRJNA550295	SAMN12124049	Model organism or animal	3180520358	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	LDD9	LDD9	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Chalinochromis sp. 'ndobhoi' AB-2019	KEE9	chando_KEE9	SRR9673916	SRX6434304	missing	WGS	252	8956232964	PRJNA550295	SAMN12123993	Model organism or animal	3119758732	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	KEE9	KEE9	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Chalinochromis sp. 'ndobhoi' AB-2019	KEF1	chando_KEF1	SRR9673917	SRX6434303	missing	WGS	252	9243526320	PRJNA550295	SAMN12123994	Model organism or animal	3219695583	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	KEF1	KEF1	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Ctenochromis horei	AVA8	ctehor_AVA8	SRR9657492	SRX6418769	missing	WGS	252	9998356284	PRJNA550295	SAMN12123595	Model organism or animal	3343011193	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	AVA8	AVA8	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Ctenochromis horei	AXA7	ctehor_AXA7	SRR9657567	SRX6418694	missing	WGS	252	10391203872	PRJNA550295	SAMN12123609	Model organism or animal	3531769703	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	AXA7	AXA7	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Cunningtonia longiventralis	IWD8	cunlon_IWD8	SRR9665706	SRX6426527	missing	WGS	252	10368399636	PRJNA550295	SAMN12123777	Model organism or animal	4003205462	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	IWD8	IWD8	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Cunningtonia longiventralis	IWD7	cunlon_IWD7	SRR9665709	SRX6426524	missing	WGS	252	8627408244	PRJNA550295	SAMN12123776	Model organism or animal	3463587437	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	IWD7	IWD7	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Cyathopharynx foae	IOD6	cyafoa_IOD6	SRR9665654	SRX6426579	missing	WGS	252	7353398052	PRJNA550295	SAMN12123687	Model organism or animal	2779300847	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	IOD6	IOD6	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Cyathopharynx foae	IOD4	cyafoa_IOD4	SRR9665657	SRX6426576	missing	WGS	252	8782221924	PRJNA550295	SAMN12123686	Model organism or animal	3527154695	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	IOD4	IOD4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Cyathopharynx furcifer	AYE5	cyafur_AYE5	SRR9657540	SRX6418721	missing	WGS	252	10674676404	PRJNA550295	SAMN12123617	Model organism or animal	3695706114	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	AYE5	AYE5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
